"sample_number","type"
75,"NORMAL"
368,"NORMAL"
661,"NORMAL"
945,"NORMAL"
1230,"NORMAL"
1514,"NORMAL"
1808,"NORMAL"
2043,"NORMAL"
2401,"NORMAL"
2704,"NORMAL"
2996,"NORMAL"
3281,"NORMAL"
3559,"NORMAL"
3861,"NORMAL"
4169,"NORMAL"
4464,"NORMAL"
4763,"NORMAL"
5059,"NORMAL"
5345,"NORMAL"
5631,"NORMAL"
5917,"NORMAL"
6212,"NORMAL"
6525,"NORMAL"
6822,"NORMAL"
7104,"NORMAL"
7389,"NORMAL"
7668,"NORMAL"
7951,"NORMAL"
8244,"NORMAL"
8537,"NORMAL"
8836,"NORMAL"
9140,"NORMAL"
9429,"NORMAL"
9709,"NORMAL"
9997,"NORMAL"
10280,"NORMAL"
10589,"NORMAL"
10892,"NORMAL"
11190,"NORMAL"
11479,"NORMAL"
11779,"NORMAL"
12065,"NORMAL"
12349,"NORMAL"
12643,"NORMAL"
12947,"NORMAL"
13265,"NORMAL"
13561,"NORMAL"
13840,"NORMAL"
14129,"NORMAL"
14421,"NORMAL"
14709,"NORMAL"
15010,"NORMAL"
15308,"NORMAL"
15606,"NORMAL"
15898,"NORMAL"
16180,"NORMAL"
16462,"NORMAL"
16754,"NORMAL"
17057,"NORMAL"
17357,"NORMAL"
17654,"NORMAL"
17945,"NORMAL"
18226,"NORMAL"
18512,"NORMAL"
18795,"NORMAL"
19079,"NORMAL"
19386,"NORMAL"
19691,"NORMAL"
19988,"NORMAL"
20270,"NORMAL"
20553,"NORMAL"
20836,"NORMAL"
21130,"NORMAL"
21422,"NORMAL"
21727,"NORMAL"
22028,"NORMAL"
22320,"NORMAL"
22601,"NORMAL"
22879,"NORMAL"
23162,"NORMAL"
23452,"NORMAL"
23755,"NORMAL"
24051,"NORMAL"
24344,"NORMAL"
24624,"NORMAL"
24910,"NORMAL"
25196,"NORMAL"
25484,"NORMAL"
25778,"NORMAL"
26087,"NORMAL"
26385,"NORMAL"
26669,"NORMAL"
26950,"NORMAL"
27235,"NORMAL"
27535,"NORMAL"
27831,"NORMAL"
28130,"NORMAL"
28429,"NORMAL"
28725,"NORMAL"
29014,"NORMAL"
29292,"NORMAL"
29578,"NORMAL"
29871,"NORMAL"
30180,"NORMAL"
30485,"NORMAL"
30778,"NORMAL"
31063,"NORMAL"
31347,"NORMAL"
31634,"NORMAL"
31926,"NORMAL"
32222,"NORMAL"
32526,"NORMAL"
32834,"NORMAL"
33125,"NORMAL"
33402,"NORMAL"
33689,"NORMAL"
33980,"NORMAL"
34272,"NORMAL"
34573,"NORMAL"
34869,"NORMAL"
35166,"NORMAL"
35454,"NORMAL"
35735,"NORMAL"
36015,"NORMAL"
36307,"NORMAL"
36603,"NORMAL"
36914,"NORMAL"
37213,"NORMAL"
37498,"NORMAL"
37781,"NORMAL"
38070,"NORMAL"
38355,"NORMAL"
38650,"NORMAL"
38949,"NORMAL"
39251,"NORMAL"
39547,"NORMAL"
39824,"NORMAL"
40094,"NORMAL"
40381,"NORMAL"
40676,"NORMAL"
40968,"NORMAL"
41270,"NORMAL"
41566,"NORMAL"
41848,"NORMAL"
42115,"NORMAL"
42413,"NORMAL"
42695,"NORMAL"
42995,"NORMAL"
43305,"NORMAL"
43602,"NORMAL"
43890,"NORMAL"
44171,"NORMAL"
44454,"NORMAL"
44742,"NORMAL"
45028,"NORMAL"
45322,"NORMAL"
45626,"NORMAL"
45923,"NORMAL"
46203,"NORMAL"
46477,"NORMAL"
46758,"NORMAL"
47035,"NORMAL"
47333,"NORMAL"
47630,"NORMAL"
47917,"NORMAL"
48201,"NORMAL"
48484,"NORMAL"
48764,"NORMAL"
49039,"NORMAL"
49321,"NORMAL"
49616,"NORMAL"
49921,"NORMAL"
50212,"NORMAL"
50490,"NORMAL"
50770,"NORMAL"
51054,"NORMAL"
51338,"NORMAL"
51625,"NORMAL"
51919,"NORMAL"
52214,"NORMAL"
52504,"NORMAL"
52783,"NORMAL"
53061,"NORMAL"
53340,"NORMAL"
53630,"NORMAL"
53921,"NORMAL"
54218,"NORMAL"
54506,"NORMAL"
54783,"NORMAL"
55063,"NORMAL"
55342,"NORMAL"
55622,"NORMAL"
55906,"NORMAL"
56207,"NORMAL"
56500,"NORMAL"
56782,"NORMAL"
57054,"NORMAL"
57331,"NORMAL"
57614,"NORMAL"
57898,"NORMAL"
58190,"NORMAL"
58488,"NORMAL"
58786,"NORMAL"
59076,"NORMAL"
59353,"NORMAL"
59630,"NORMAL"
59919,"NORMAL"
60211,"NORMAL"
60513,"NORMAL"
60816,"NORMAL"
61104,"NORMAL"
61390,"NORMAL"
61678,"NORMAL"
61962,"NORMAL"
62246,"NORMAL"
