"time","type"
2706,"NORMAL"
5060,"NORMAL"
6214,"NORMAL"
8246,"NORMAL"
8539,"NORMAL"
8837,"NORMAL"
9710,"NORMAL"
10282,"NORMAL"
11480,"NORMAL"
12350,"NORMAL"
13562,"NORMAL"
14131,"NORMAL"
15011,"NORMAL"
15310,"NORMAL"
15607,"NORMAL"
16755,"NORMAL"
17058,"NORMAL"
17358,"NORMAL"
18227,"NORMAL"
19388,"NORMAL"
20554,"NORMAL"
25485,"NORMAL"
26952,"NORMAL"
27237,"NORMAL"
28132,"NORMAL"
30182,"NORMAL"
30487,"NORMAL"
32836,"NORMAL"
34274,"NORMAL"
34575,"NORMAL"
34870,"NORMAL"
35168,"NORMAL"
35736,"NORMAL"
36016,"NORMAL"
37215,"NORMAL"
38071,"NORMAL"
38356,"NORMAL"
39252,"NORMAL"
40382,"NORMAL"
40970,"NORMAL"
43307,"NORMAL"
44743,"NORMAL"
45323,"NORMAL"
47037,"NORMAL"
48202,"NORMAL"
49040,"NORMAL"
49323,"NORMAL"
50214,"NORMAL"
50771,"NORMAL"
51921,"NORMAL"
52784,"NORMAL"
55064,"NORMAL"
56502,"NORMAL"
57055,"NORMAL"
57333,"NORMAL"
58490,"NORMAL"
59077,"NORMAL"
66307,"NORMAL"
66792,"NORMAL"
67434,"NORMAL"
68302,"NORMAL"
68886,"NORMAL"
70357,"NORMAL"
70941,"NORMAL"
72417,"NORMAL"
73912,"NORMAL"
75332,"NORMAL"
76515,"NORMAL"
77074,"NORMAL"
78251,"NORMAL"
78539,"NORMAL"
79386,"NORMAL"
80583,"NORMAL"
83492,"NORMAL"
85303,"NORMAL"
85870,"NORMAL"
86478,"NORMAL"
86780,"NORMAL"
87652,"NORMAL"
87941,"NORMAL"
88834,"NORMAL"
90286,"NORMAL"
91481,"NORMAL"
91761,"NORMAL"
93246,"NORMAL"
93534,"NORMAL"
95606,"NORMAL"
95893,"NORMAL"
97348,"NORMAL"
99382,"NORMAL"
99930,"NORMAL"
100496,"NORMAL"
103371,"NORMAL"
103669,"NORMAL"
105118,"NORMAL"
105407,"NORMAL"
105707,"NORMAL"
106600,"NORMAL"
107159,"NORMAL"
108045,"NORMAL"
108342,"NORMAL"
109199,"NORMAL"
110963,"NORMAL"
111524,"NORMAL"
112405,"NORMAL"
113850,"NORMAL"
114428,"NORMAL"
114716,"NORMAL"
115280,"NORMAL"
116654,"NORMAL"
117494,"NORMAL"
118323,"NORMAL"
118607,"NORMAL"
120676,"NORMAL"
122461,"NORMAL"
123050,"NORMAL"
124507,"NORMAL"
128423,"NORMAL"
128698,"NORMAL"
130318,"NORMAL"
130568,"NORMAL"
132122,"NORMAL"
133933,"NORMAL"
134197,"NORMAL"
136061,"NORMAL"
136630,"NORMAL"
137729,"NORMAL"
138008,"NORMAL"
138304,"NORMAL"
140599,"NORMAL"
141423,"NORMAL"
144025,"NORMAL"
147290,"NORMAL"
147565,"NORMAL"
149488,"NORMAL"
150030,"NORMAL"
150849,"NORMAL"
151974,"NORMAL"
152237,"NORMAL"
153067,"NORMAL"
153644,"NORMAL"
155291,"NORMAL"
157960,"NORMAL"
158974,"NORMAL"
162035,"NORMAL"
163629,"NORMAL"
163899,"NORMAL"
164461,"NORMAL"
164731,"NORMAL"
165246,"NORMAL"
166301,"NORMAL"
166570,"NORMAL"
167912,"NORMAL"
