"time","type"
359,"NORMAL"
370,"NORMAL"
947,"NORMAL"
1231,"NORMAL"
2403,"NORMAL"
5060,"NORMAL"
5346,"NORMAL"
5918,"NORMAL"
6516,"NORMAL"
6823,"NORMAL"
7392,"NORMAL"
8529,"NORMAL"
9141,"NORMAL"
9710,"NORMAL"
10591,"NORMAL"
11191,"NORMAL"
11470,"NORMAL"
11770,"NORMAL"
12066,"NORMAL"
13562,"NORMAL"
14413,"NORMAL"
15899,"NORMAL"
16745,"NORMAL"
17645,"NORMAL"
17937,"NORMAL"
18796,"NORMAL"
19693,"NORMAL"
19989,"NORMAL"
20554,"NORMAL"
21131,"NORMAL"
22311,"NORMAL"
22871,"NORMAL"
23154,"NORMAL"
24053,"NORMAL"
24345,"NORMAL"
24625,"NORMAL"
25197,"NORMAL"
25780,"NORMAL"
26670,"NORMAL"
26942,"NORMAL"
27536,"NORMAL"
28132,"NORMAL"
29580,"NORMAL"
30779,"NORMAL"
31065,"NORMAL"
31348,"NORMAL"
32224,"NORMAL"
33127,"NORMAL"
33403,"NORMAL"
33691,"NORMAL"
34870,"NORMAL"
35455,"NORMAL"
35736,"NORMAL"
36016,"NORMAL"
37782,"NORMAL"
38071,"NORMAL"
38356,"NORMAL"
38950,"NORMAL"
39252,"NORMAL"
39825,"NORMAL"
40096,"NORMAL"
41557,"NORMAL"
41849,"NORMAL"
42416,"NORMAL"
43882,"NORMAL"
44456,"NORMAL"
46204,"NORMAL"
46759,"NORMAL"
47632,"NORMAL"
48486,"NORMAL"
50491,"NORMAL"
50771,"NORMAL"
51046,"NORMAL"
51339,"NORMAL"
52784,"NORMAL"
54784,"NORMAL"
55064,"NORMAL"
55343,"NORMAL"
57055,"NORMAL"
57323,"NORMAL"
57615,"NORMAL"
57889,"NORMAL"
58192,"NORMAL"
59354,"NORMAL"
60214,"NORMAL"
60516,"NORMAL"
60807,"NORMAL"
61391,"NORMAL"
62237,"NORMAL"
62536,"NORMAL"
62852,"NORMAL"
63711,"NORMAL"
63988,"NORMAL"
65174,"NORMAL"
65454,"NORMAL"
65740,"NORMAL"
66307,"NORMAL"
67728,"NORMAL"
68292,"NORMAL"
69504,"NORMAL"
69796,"NORMAL"
70073,"NORMAL"
70347,"NORMAL"
70941,"NORMAL"
71240,"NORMAL"
72138,"NORMAL"
72417,"NORMAL"
72988,"NORMAL"
73301,"NORMAL"
73612,"NORMAL"
74483,"NORMAL"
74767,"NORMAL"
74976,"NORMAL"
75332,"NORMAL"
75632,"NORMAL"
76515,"NORMAL"
77654,"NORMAL"
78251,"NORMAL"
78529,"NORMAL"
78814,"NORMAL"
79991,"NORMAL"
80859,"NORMAL"
81141,"NORMAL"
81152,"NORMAL"
81428,"NORMAL"
81439,"NORMAL"
82335,"NORMAL"
82927,"NORMAL"
83209,"NORMAL"
83794,"NORMAL"
84709,"NORMAL"
85570,"NORMAL"
85860,"NORMAL"
87079,"NORMAL"
87364,"NORMAL"
88539,"NORMAL"
89123,"NORMAL"
89421,"NORMAL"
90885,"NORMAL"
91761,"NORMAL"
92047,"NORMAL"
93824,"NORMAL"
95596,"NORMAL"
95893,"NORMAL"
96450,"NORMAL"
97348,"NORMAL"
